date,high,low,close
2000-11-30,98.0000,92.2500,93.5000
2000-12-01,99.3100,94.3700,95.6200
2000-12-04,99.1900,95.7500,98.3700
2000-12-05,104.7500,99.6200,103.3700
2000-12-06,101.8100,94.8100,96.7500
2000-12-07,95.9400,93.1200,93.1200
2000-12-08,99.0000,95.7500,97.0000
2000-12-11,98.2500,93.7500,95.0000
2000-12-12,96.1200,92.5000,93.8700
2000-12-13,96.6200,90.6900,91.2500
2000-12-14,93.6900,91.8100,92.4400
2000-12-15,90.6900,87.3100,87.8100
2000-12-18,90.5000,88.3700,90.5000
2000-12-19,94.4400,89.8100,90.1200
2000-12-20,88.0000,84.8100,86.0000
2000-12-21,87.9400,80.0600,81.5600
2000-12-22,89.3700,84.5000,89.0000
2000-12-26,89.5600,84.2500,84.8100
2000-12-27,88.1200,83.5600,84.6900
2000-12-28,88.1900,82.1200,85.2500
2000-12-29,86.9400,84.2500,85.0000
2001-01-02,87.5000,84.1200,84.8100
2001-01-03,95.0000,83.7500,94.6200
2001-01-04,99.7500,92.6900,93.1900
2001-01-05,94.6900,91.0000,94.0000
2001-01-08,93.9400,91.5600,93.5600
2001-01-09,95.7500,91.4400,92.5600
2001-01-10,94.9400,91.6900,93.4400
2001-01-11,94.2500,91.2500,93.6900
2001-01-12,96.4400,92.3700,93.8100
2001-01-16,94.0000,91.8100,92.7500
2001-01-17,97.7500,94.3100,96.6900
2001-01-18,110.0000,103.5000,108.3100
2001-01-19,113.9400,107.2500,111.2500
2001-01-22,109.9400,108.1900,108.5600
2001-01-23,109.9400,107.6200,109.0600
2001-01-24,111.4400,108.9400,110.4400
2001-01-25,111.1200,109.4400,110.7500
2001-01-26,115.2500,109.1900,114.1900
2001-01-29,115.5000,112.4700,114.9800
2001-01-30,116.7500,113.4000,116.6100
2001-01-31,116.7500,112.0000,112.0000
2001-02-01,114.3400,111.2000,114.0500
2001-02-02,113.9900,109.6000,110.2700
2001-02-05,112.6000,109.3000,112.2200
2001-02-06,115.6900,111.2000,114.1900
2001-02-07,117.6000,112.6700,116.9100
2001-02-08,118.2000,114.0300,114.1000
2001-02-09,114.9900,111.0000,112.0000
2001-02-12,115.7200,110.3000,114.9000
2001-02-13,117.3800,113.0700,113.7500
2001-02-14,116.1700,112.5000,115.1000
2001-02-15,118.6400,116.3800,116.7800
2001-02-16,115.7500,113.9400,115.0000
2001-02-20,115.6000,110.7800,111.5000
2001-02-21,111.5000,107.2900,107.5100
2001-02-22,110.9000,103.3800,108.9000
2001-02-23,107.5000,100.2500,104.0000
2001-02-26,105.8000,101.8300,105.3000
2001-02-27,106.8700,102.5600,102.5900
2001-02-28,103.5400,99.1000,99.9000
2001-03-01,106.4000,97.5000,106.0500
2001-03-02,107.6500,100.9400,102.3000
2001-03-05,105.6000,102.6400,104.9100
2001-03-06,108.4000,105.2500,106.0000
2001-03-07,108.2500,105.6600,107.5500
2001-03-08,107.3400,105.3700,106.4700
